DATE,NYSTHPI
10/1/2015,593.69
1/1/2016,596.79
4/1/2016,606.32
7/1/2016,614.7
10/1/2016,620.16
1/1/2017,621.76
4/1/2017,631.6
7/1/2017,644.22
10/1/2017,650.33
1/1/2018,657.21
4/1/2018,665.08
7/1/2018,676.01
10/1/2018,676.34
1/1/2019,682.04
4/1/2019,693.01
7/1/2019,703.07
10/1/2019,710.64
1/1/2020,717.16
4/1/2020,723.13
7/1/2020,734.95
10/1/2020,750.94
1/1/2021,768.7
4/1/2021,796.22
7/1/2021,836.51
10/1/2021,855.79
1/1/2022,877.51
4/1/2022,929.16
7/1/2022,950.56
10/1/2022,945.71
1/1/2023,945.78
4/1/2023,980.86
